# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-06-04 20:54:55 789515642 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000080564 -0.000000000 -1.000000000  0.000000000000000000          -nan   0.000000000          -nan  0.000000344230937    79.000000  0.000000000000000 
     1     0.001000  0.000080564  0.000080564 -0.000506201 -0.999999872  0.000000000000000000 -30.000003844  30.000003844  30.000003844  0.000000344258678    79.000000 30.000003843591124 
     2     0.002000  0.000161129  0.000080564 -0.001012402 -0.999999488  0.000000000000000000 -30.000015374   6.318926849  30.000015374  0.000000344286427    79.000000  6.318926849431889 
     3     0.003000  0.000241693  0.000080564 -0.001518602 -0.999998847  0.000000000000000000 -30.000034592   6.858924055  30.000034592  0.000000344314186    79.000000  6.858924054828436 
     4     0.004000  0.000322258  0.000080564 -0.002024802 -0.999997950 -0.000000000000000888 -30.000061498   7.435300297  30.000061498  0.000000344341953    79.000000  7.435300296516234 
     5     0.005000  0.000402822  0.000080564 -0.002531002 -0.999996797 -0.000000000000000888 -30.000096090   8.049546020  30.000096090  0.000000344369729    79.000000  8.049546020164943 
     6     0.006000  0.000483386  0.000080564 -0.003037201 -0.999995388  0.000000000000001776 -30.000138370   8.703126238  30.000138370  0.000000344397515    79.000000  8.703126237719101 
     7     0.007000  0.000563951  0.000080564 -0.003543399 -0.999993722  0.000000000000000000 -30.000188337   9.397471818  30.000188337  0.000000344425309    79.000000  9.397471817613495 
     8     0.008000  0.000644515  0.000080564 -0.004049596 -0.999991800 -0.000000000000001776 -30.000245991  10.133970351  30.000245991  0.000000344453112    79.000000 10.133970350781423 
     9     0.009000  0.000725079  0.000080564 -0.004555793 -0.999989622  0.000000000000000000 -30.000311334  10.913956877  30.000311334  0.000000344480924    79.000000 10.913956877248665 
    10     0.010000  0.000805644  0.000080564 -0.005061988 -0.999987188  0.000000000000000000 -30.000384363  11.738704319  30.000384363  0.000000344508745    79.000000 11.738704318763309 
    11     0.011000  0.000886208  0.000080564 -0.005568181 -0.999984498  0.000000000000000000 -30.000465080  12.609413832  30.000465080  0.000000344536575    79.000000 12.609413832443378 
    12     0.012000  0.000966773  0.000080564 -0.006074374 -0.999981551  0.000000000000000000 -30.000553486  13.527205083  30.000553486  0.000000344564414    79.000000 13.527205082831921 
    13     0.013000  0.001047337  0.000080564 -0.006580565 -0.999978348  0.000000000000000000 -30.000649579  14.493106578  30.000649579  0.000000344592262    79.000000 14.493106577670501 
    14     0.014000  0.001127901  0.000080564 -0.007086754 -0.999974889  0.000000000000000000 -30.000753360  15.508045943  30.000753360  0.000000344620119    79.000000 15.508045942561694 
    15     0.015000  0.001208466  0.000080564 -0.007592941 -0.999971173  0.000000000000000000 -30.000864829  16.572840597  30.000864829  0.000000344647985    79.000000 16.572840596795924 
    16     0.016000  0.001289030  0.000080564 -0.008099126 -0.999967202  0.000000000000000000 -30.000983986  17.688188481  30.000983986  0.000000344675859    79.000000 17.688188481298162 
    17     0.017000  0.001369594  0.000080564 -0.008605310 -0.999962974  0.000000000000000000 -30.001110832  18.854659197  30.001110832  0.000000344703743    79.000000 18.854659196779977 
    18     0.018000  0.001450159  0.000080564 -0.009111491 -0.999958490  0.000000000000000000 -30.001245366  20.072685599  30.001245366  0.000000344731636    79.000000 20.072685598675200 
    19     0.019000  0.001530723  0.000080564 -0.009617669 -0.999953749  0.000000000000000000 -30.001387590  21.342555765  30.001387590  0.000000344759537    79.000000 21.342555765306859 
    20     0.020000  0.001611288  0.000080564 -0.010123846 -0.999948753  0.000000000000000000 -30.001537502  22.664405688  30.001537502  0.000000344787448    79.000000 22.664405688173737 
    21     0.021000  0.001691852  0.000080564 -0.010630019 -0.999943500  0.000000000000000000 -30.001695103  24.038212465  30.001695103  0.000000344815368    79.000000 24.038212465259278 
    22     0.022000  0.001772416  0.000080564 -0.011136190 -0.999937991  0.000000000000000000 -30.001860394  25.463788377  30.001860394  0.000000344843296    79.000000 25.463788376923755 
    23     0.023000  0.001852981  0.000080564 -0.011642358 -0.999932225  0.000000000000000000 -30.002033374  26.940775477  30.002033374  0.000000344871233    79.000000 26.940775477293567 
    24     0.024000  0.001933545  0.000080564 -0.012148523 -0.999926204  0.000000000000000000 -30.002214044  28.468641390  30.002214044  0.000000344899180    79.000000 28.468641389989003 
    25     0.025000  0.002014110  0.000080564 -0.012654685 -0.999919926  0.000000000000000000 -30.002402405  30.002402405  30.002402405  0.000000344927135    79.000000 30.002402404505396 
    26     0.026000  0.002094674  0.000080564 -0.013160844 -0.999913392  0.000000000000007105 -30.002598455  30.002598455  30.002598455  0.000000344955100    79.000000 30.002598454862746 
    27     0.027000  0.002175238  0.000080564 -0.013667000 -0.999906602  0.000000000000000000 -30.002802196  30.002802196  30.002802196  0.000000344983073    79.000000 30.002802195731821 
    28     0.028000  0.002255803  0.000080564 -0.014173151 -0.999899556 -0.000000000000007105 -30.003013627  30.003013627  30.003013627  0.000000345011055    79.000000 30.003013627373711 
    29     0.029000  0.002336367  0.000080564 -0.014679300 -0.999892253 -0.000000000000007105 -30.003232750  30.003232750  30.003232750  0.000000345039046    79.000000 30.003232750059361 
    30     0.030000  0.002416931  0.000080564 -0.015185444 -0.999884694  0.000000000000000000 -30.003459564  30.003459564  30.003459564  0.000000345067047    79.000000 30.003459564069594 
    31     0.031000  0.002497496  0.000080564 -0.015691585 -0.999876880 -0.000000000000007105 -30.003694070  30.003694070  30.003694070  0.000000345095056    79.000000 30.003694069695058 
    32     0.032000  0.002578060  0.000080564 -0.016197721 -0.999868808  0.000000000000000000 -30.003936267  30.003936267  30.003936267  0.000000345123074    79.000000 30.003936267236305 
    33     0.033000  0.002658625  0.000080564 -0.016703854 -0.999860481  0.000000000000000000 -30.004186157  30.004186157  30.004186157  0.000000345151101    79.000000 30.004186157003733 
    34     0.034000  0.002739189  0.000080564 -0.017209982 -0.999851897 -0.000000000000007105 -30.004443739  30.004443739  30.004443739  0.000000345179137    79.000000 30.004443739317587 
    35     0.035000  0.002819753  0.000080564 -0.017716106 -0.999843057  0.000000000000000000 -30.004709015  30.004709015  30.004709015  0.000000345207182    79.000000 30.004709014508020 
    36     0.036000  0.002900318  0.000080564 -0.018222225 -0.999833961  0.000000000000007105 -30.004981983  30.004981983  30.004981983  0.000000345235236    79.000000 30.004981982915005 
    37     0.037000  0.002980882  0.000080564 -0.018728339 -0.999824609  0.000000000000000000 -30.005262645  30.005262645  30.005262645  0.000000345263299    79.000000 30.005262644888411 
    38     0.038000  0.003061446  0.000080564 -0.019234449 -0.999815001 -0.000000000000007105 -30.005551001  30.005551001  30.005551001  0.000000345291371    79.000000 30.005551000787975 
    39     0.039000  0.003142011  0.000080564 -0.019740554 -0.999805136  0.000000000000000000 -30.005847051  30.005847051  30.005847051  0.000000345319452    79.000000 30.005847050983277 
    40     0.040000  0.003222575  0.000080564 -0.020246654 -0.999795015  0.000000000000007105 -30.006150796  30.006150796  30.006150796  0.000000345347542    79.000000 30.006150795853817 
    41     0.041000  0.003303140  0.000080564 -0.020752748 -0.999784639  0.000000000000000000 -30.006462236  30.006462236  30.006462236  0.000000345375641    79.000000 30.006462235788920 
    42     0.042000  0.003383704  0.000080564 -0.021258837 -0.999774005 -0.000000000000014211 -30.006781371  30.006781371  30.006781371  0.000000345403749    79.000000 30.006781371187810 
    43     0.043000  0.003464268  0.000080564 -0.021764921 -0.999763116  0.000000000000014211 -30.007108202  30.007108202  30.007108202  0.000000345431866    79.000000 30.007108202459580 
    44     0.044000  0.003544833  0.000080564 -0.022270999 -0.999751971  0.000000000000000000 -30.007442730  30.007442730  30.007442730  0.000000345459991    79.000000 30.007442730023193 
    45     0.045000  0.003625397  0.000080564 -0.022777072 -0.999740569  0.000000000000000000 -30.007784954  30.007784954  30.007784954  0.000000345488126    79.000000 30.007784954307493 
    46     0.046000  0.003705961  0.000080564 -0.023283139 -0.999728911  0.000000000000000000 -30.008134876  30.008134876  30.008134876  0.000000345516270    79.000000 30.008134875751217 
    47     0.047000  0.003786526  0.000080564 -0.023789199 -0.999716997 -0.000000000000014211 -30.008492495  30.008492495  30.008492495  0.000000345544423    79.000000 30.008492494802947 
    48     0.048000  0.003867090  0.000080564 -0.024295254 -0.999704827  0.000000000000000000 -30.008857812  30.008857812  30.008857812  0.000000345572585    79.000000 30.008857811921189 
    49     0.049000  0.003947655  0.000080564 -0.024801302 -0.999692400 -0.000000000000014211 -30.009230828  30.009230828  30.009230828  0.000000345600755    79.000000 30.009230827574299 
    50     0.050000  0.004028219  0.000080564 -0.025307344 -0.999679718  0.000000000000000000 -30.009611542  30.009611542  30.009611542  0.000000345628935    79.000000 30.009611542240542 
    51     0.051000  0.004108783  0.000080564 -0.025813380 -0.999666779  0.000000000000000000 -30.009999956  30.009999956  30.009999956  0.000000345657124    79.000000 30.009999956408041 
    52     0.052000  0.004189348  0.000080564 -0.026319409 -0.999653584  0.000000000000000000 -30.010396071  30.010396071  30.010396071  0.000000345685322    79.000000 30.010396070574835 
    53     0.053000  0.004269912  0.000080564 -0.026825431 -0.999640133  0.000000000000000000 -30.010799885  30.010799885  30.010799885  0.000000345713528    79.000000 30.010799885248826 
    54     0.054000  0.004350477  0.000080564 -0.027331446 -0.999626426  0.000000000000000000 -30.011211401  30.011211401  30.011211401  0.000000345741744    79.000000 30.011211400947822 
    55     0.055000  0.004431041  0.000080564 -0.027837455 -0.999612463  0.000000000000000000 -30.011630618  30.011630618  30.011630618  0.000000345769968    79.000000 30.011630618199529 
    56     0.056000  0.004511605  0.000080564 -0.028343456 -0.999598244  0.000000000000000000 -30.012057538  30.012057538  30.012057538  0.000000345798202    79.000000 30.012057537541526 
    57     0.057000  0.004592170  0.000080564 -0.028849450 -0.999583768  0.000000000000000000 -30.012492160  30.012492160  30.012492160  0.000000345826445    79.000000 30.012492159521312 
    58     0.058000  0.004672734  0.000080564 -0.029355436 -0.999569036  0.000000000000000000 -30.012934485  30.012934485  30.012934485  0.000000345854696    79.000000 30.012934484696260 
    59     0.059000  0.004753298  0.000080564 -0.029861415 -0.999554049  0.000000000000000000 -30.013384514  30.013384514  30.013384514  0.000000345882957    79.000000 30.013384513633657 
    60     0.060000  0.004833863  0.000080564 -0.030367386 -0.999538805  0.000000000000000000 -30.013842247  30.013842247  30.013842247  0.000000345911227    79.000000 30.013842246910688 
    61     0.061000  0.004914427  0.000080564 -0.030873350 -0.999523305  0.000000000000000000 -30.014307685  30.014307685  30.014307685  0.000000345939505    79.000000 30.014307685114428 
    62     0.062000  0.004994992  0.000080564 -0.031379306 -0.999507548  0.000000000000014211 -30.014780829  30.014780829  30.014780829  0.000000345967793    79.000000 30.014780828841872 
    63     0.063000  0.005075556  0.000080564 -0.031885253 -0.999491536 -0.000000000000014211 -30.015261679  30.015261679  30.015261679  0.000000345996090    79.000000 30.015261678699929 
    64     0.064000  0.005156120  0.000080564 -0.032391193 -0.999475268 -0.000000000000014211 -30.015750235  30.015750235  30.015750235  0.000000346024395    79.000000 30.015750235305383 
    65     0.065000  0.005236685  0.000080564 -0.032897124 -0.999458743 -0.000000000000014211 -30.016246499  30.016246499  30.016246499  0.000000346052710    79.000000 30.016246499284957 
    66     0.066000  0.005317249  0.000080564 -0.033403047 -0.999441963 -0.000000000000014211 -30.016750471  30.016750471  30.016750471  0.000000346081033    79.000000 30.016750471275284 
    67     0.067000  0.005397813  0.000080564 -0.033908961 -0.999424926 -0.000000000000014211 -30.017262152  30.017262152  30.017262152  0.000000346109366    79.000000 30.017262151922889 
    68     0.068000  0.005478378  0.000080564 -0.034414866 -0.999407633 -0.000000000000014211 -30.017781542  30.017781542  30.017781542  0.000000346137708    79.000000 30.017781541884240 
    69     0.069000  0.005558942  0.000080564 -0.034920763 -0.999390084  0.000000000000014211 -30.018308642  30.018308642  30.018308642  0.000000346166058    79.000000 30.018308641825705 
    70     0.070000  0.005639507  0.000080564 -0.035426651 -0.999372279  0.000000000000000000 -30.018843452  30.018843452  30.018843452  0.000000346194418    79.000000 30.018843452423578 
    71     0.071000  0.005720071  0.000080564 -0.035932529 -0.999354218 -0.000000000000014211 -30.019385974  30.019385974  30.019385974  0.000000346222786    79.000000 30.019385974364084 
    72     0.072000  0.005800635  0.000080564 -0.036438399 -0.999335901 -0.000000000000014211 -30.019936208  30.019936208  30.019936208  0.000000346251164    79.000000 30.019936208343356 
    73     0.073000  0.005881200  0.000080564 -0.036944259 -0.999317328  0.000000000000000000 -30.020494155  30.020494155  30.020494155  0.000000346279551    79.000000 30.020494155067457 
    74     0.074000  0.005961764  0.000080564 -0.037450109 -0.999298499  0.000000000000000000 -30.021059815  30.021059815  30.021059815  0.000000346307946    79.000000 30.021059815252396 
    75     0.075000  0.006042329  0.000080564 -0.037955950 -0.999279413 -0.000000000000014211 -30.021633190  30.021633190  30.021633190  0.000000346336351    79.000000 30.021633189624090 
    76     0.076000  0.006122893  0.000080564 -0.038461782 -0.999260072  0.000000000000000000 -30.022214279  30.022214279  30.022214279  0.000000346364764    79.000000 30.022214278918401 
    77     0.077000  0.006203457  0.000080564 -0.038967603 -0.999240475  0.000000000000000000 -30.022803084  30.022803084  30.022803084  0.000000346393187    79.000000 30.022803083881126 
    78     0.078000  0.006284022  0.000080564 -0.039473414 -0.999220621  0.000000000000014211 -30.023399605  30.023399605  30.023399605  0.000000346421619    79.000000 30.023399605268008 
    79     0.079000  0.006364586  0.000080564 -0.039979216 -0.999200512  0.000000000000000000 -30.024003844  30.024003844  30.024003844  0.000000346450059    79.000000 30.024003843844710 
    80     0.080000  0.006445150  0.000080564 -0.040485007 -0.999180146  0.000000000000014211 -30.024615800  30.024615800  30.024615800  0.000000346478509    79.000000 30.024615800386854 
    81     0.081000  0.006525715  0.000080564 -0.040990787 -0.999159524  0.000000000000014211 -30.025235476  30.025235476  30.025235476  0.000000346506967    79.000000 30.025235475679995 
    82     0.082000  0.006606279  0.000080564 -0.041496558 -0.999138647  0.000000000000000000 -30.025862871  30.025862871  30.025862871  0.000000346535435    79.000000 30.025862870519660 
    83     0.083000  0.006686844  0.000080564 -0.042002317 -0.999117513  0.000000000000028422 -30.026497986  30.026497986  30.026497986  0.000000346563912    79.000000 30.026497985711295 
    84     0.084000  0.006767408  0.000080564 -0.042508066 -0.999096124 -0.000000000000028422 -30.027140822  30.027140822  30.027140822  0.000000346592398    79.000000 30.027140822070308 
    85     0.085000  0.006847972  0.000080564 -0.043013804 -0.999074478  0.000000000000000000 -30.027791380  30.027791380  30.027791380  0.000000346620892    79.000000 30.027791380422091 
    86     0.086000  0.006928537  0.000080564 -0.043519531 -0.999052576  0.000000000000000000 -30.028449662  30.028449662  30.028449662  0.000000346649396    79.000000 30.028449661601943 
    87     0.087000  0.007009101  0.000080564 -0.044025247 -0.999030419 -0.000000000000028422 -30.029115666  30.029115666  30.029115666  0.000000346677909    79.000000 30.029115666455166 
    88     0.088000  0.007089665  0.000080564 -0.044530951 -0.999008005  0.000000000000000000 -30.029789396  30.029789396  30.029789396  0.000000346706430    79.000000 30.029789395837003 
    89     0.089000  0.007170230  0.000080564 -0.045036644 -0.998985336  0.000000000000028422 -30.030470851  30.030470851  30.030470851  0.000000346734961    79.000000 30.030470850612677 
    90     0.090000  0.007250794  0.000080564 -0.045542326 -0.998962410  0.000000000000000000 -30.031160032  30.031160032  30.031160032  0.000000346763501    79.000000 30.031160031657354 
    91     0.091000  0.007331359  0.000080564 -0.046047996 -0.998939228  0.000000000000000000 -30.031856940  30.031856940  30.031856940  0.000000346792050    79.000000 30.031856939856215 
    92     0.092000  0.007411923  0.000080564 -0.046553654 -0.998915791 -0.000000000000028422 -30.032561576  30.032561576  30.032561576  0.000000346820607    79.000000 30.032561576104367 
    93     0.093000  0.007492487  0.000080564 -0.047059300 -0.998892097  0.000000000000000000 -30.033273941  30.033273941  30.033273941  0.000000346849174    79.000000 30.033273941306923 
    94     0.094000  0.007573052  0.000080564 -0.047564934 -0.998868148  0.000000000000000000 -30.033994036  30.033994036  30.033994036  0.000000346877750    79.000000 30.033994036378967 
    95     0.095000  0.007653616  0.000080564 -0.048070556 -0.998843943  0.000000000000000000 -30.034721862  30.034721862  30.034721862  0.000000346906335    79.000000 30.034721862245561 
    96     0.096000  0.007734180  0.000080564 -0.048576165 -0.998819481 -0.000000000000028422 -30.035457420  30.035457420  30.035457420  0.000000346934929    79.000000 30.035457419841773 
    97     0.097000  0.007814745  0.000080564 -0.049081762 -0.998794764  0.000000000000000000 -30.036200710  30.036200710  30.036200710  0.000000346963532    79.000000 30.036200710112638 
    98     0.098000  0.007895309  0.000080564 -0.049587347 -0.998769791  0.000000000000000000 -30.036951734  30.036951734  30.036951734  0.000000346992143    79.000000 30.036951734013179 
    99     0.099000  0.007975874  0.000080564 -0.050092919 -0.998744562  0.000000000000028422 -30.037710493  30.037710493  30.037710493  0.000000347020764    79.000000 30.037710492508435 
   100     0.100000  0.008056438  0.000080564 -0.050598478 -0.998719077  0.000000000000000000 -30.038476987  30.038476987  30.038476987  0.000000347049394    79.000000 30.038476986573425 
   101     0.101000  0.008137002  0.000080564 -0.051104024 -0.998693336  0.000000000000028422 -30.039251217  30.039251217  30.039251217  0.000000347078033    79.000000 30.039251217193172 
   102     0.102000  0.008217567  0.000080564 -0.051609557 -0.998667339  0.000000000000000000 -30.040033185  30.040033185  30.040033185  0.000000347106681    79.000000 30.040033185362706 
   103     0.103000  0.008298131  0.000080564 -0.052115076 -0.998641086  0.000000000000000000 -30.040822892  30.040822892  30.040822892  0.000000347135338    79.000000 30.040822892087068 
   104     0.104000  0.008378696  0.000080564 -0.052620583 -0.998614577  0.000000000000028422 -30.041620338  30.041620338  30.041620338  0.000000347164004    79.000000 30.041620338381293 
   105     0.105000  0.008459260  0.000080564 -0.053126075 -0.998587813  0.000000000000000000 -30.042425525  30.042425525  30.042425525  0.000000347192679    79.000000 30.042425525270442 
   106     0.106000  0.008539824  0.000080564 -0.053631555 -0.998560793  0.000000000000000000 -30.043238454  30.043238454  30.043238454  0.000000347221364    79.000000 30.043238453789591 
   107     0.107000  0.008620389  0.000080564 -0.054137020 -0.998533516  0.000000000000000000 -30.044059125  30.044059125  30.044059125  0.000000347250057    79.000000 30.044059124983828 
   108     0.108000  0.008700953  0.000080564 -0.054642472 -0.998505984  0.000000000000028422 -30.044887540  30.044887540  30.044887540  0.000000347278759    79.000000 30.044887539908277 
   109     0.109000  0.008781517  0.000080564 -0.055147909 -0.998478196  0.000000000000000000 -30.045723700  30.045723700  30.045723700  0.000000347307470    79.000000 30.045723699628073 
   110     0.110000  0.008862082  0.000080564 -0.055653333 -0.998450152  0.000000000000000000 -30.046567605  30.046567605  30.046567605  0.000000347336190    79.000000 30.046567605218392 
   111     0.111000  0.008942646  0.000080564 -0.056158742 -0.998421853  0.000000000000000000 -30.047419258  30.047419258  30.047419258  0.000000347364919    79.000000 30.047419257764435 
   112     0.112000  0.009023211  0.000080564 -0.056664137 -0.998393297  0.000000000000000000 -30.048278658  30.048278658  30.048278658  0.000000347393657    79.000000 30.048278658361436 
   113     0.113000  0.009103775  0.000080564 -0.057169517 -0.998364486  0.000000000000000000 -30.049145808  30.049145808  30.049145808  0.000000347422405    79.000000 30.049145808114687 
   114     0.114000  0.009184339  0.000080564 -0.057674883 -0.998335419  0.000000000000000000 -30.050020708  30.050020708  30.050020708  0.000000347451161    79.000000 30.050020708139510 
   115     0.115000  0.009264904  0.000080564 -0.058180234 -0.998306096  0.000000000000000000 -30.050903360  30.050903360  30.050903360  0.000000347479926    79.000000 30.050903359561261 
   116     0.116000  0.009345468  0.000080564 -0.058685570 -0.998276517  0.000000000000000000 -30.051793764  30.051793764  30.051793764  0.000000347508701    79.000000 30.051793763515374 
   117     0.117000  0.009426032  0.000080564 -0.059190891 -0.998246682  0.000000000000000000 -30.052691921  30.052691921  30.052691921  0.000000347537484    79.000000 30.052691921147314 
   118     0.118000  0.009506597  0.000080564 -0.059696197 -0.998216592  0.000000000000000000 -30.053597834  30.053597834  30.053597834  0.000000347566277    79.000000 30.053597833612613 
   119     0.119000  0.009587161  0.000080564 -0.060201487 -0.998186246  0.000000000000000000 -30.054511502  30.054511502  30.054511502  0.000000347595078    79.000000 30.054511502076874 
   120     0.120000  0.009667726  0.000080564 -0.060706762 -0.998155644  0.000000000000000000 -30.055432928  30.055432928  30.055432928  0.000000347623889    79.000000 30.055432927715731 
   121     0.121000  0.009748290  0.000080564 -0.061212022 -0.998124786  0.000000000000028422 -30.056362112  30.056362112  30.056362112  0.000000347652708    79.000000 30.056362111714929 
   122     0.122000  0.009828854  0.000080564 -0.061717266 -0.998093673  0.000000000000000000 -30.057299055  30.057299055  30.057299055  0.000000347681536    79.000000 30.057299055270249 
   123     0.123000  0.009909419  0.000080564 -0.062222494 -0.998062303  0.000000000000028422 -30.058243760  30.058243760  30.058243760  0.000000347710374    79.000000 30.058243759587576 
   124     0.124000  0.009989983  0.000080564 -0.062727706 -0.998030678  0.000000000000000000 -30.059196226  30.059196226  30.059196226  0.000000347739221    79.000000 30.059196225882854 
   125     0.125000  0.010070548  0.000080564 -0.063232902 -0.997998798  0.000000000000000000 -30.060156455  30.060156455  30.060156455  0.000000347768076    79.000000 30.060156455382121 
   126     0.126000  0.010151112  0.000080564 -0.063738082 -0.997966661  0.000000000000000000 -30.061124449  30.061124449  30.061124449  0.000000347796941    79.000000 30.061124449321500 
   127     0.127000  0.010231676  0.000080564 -0.064243245 -0.997934269 -0.000000000000028422 -30.062100209  30.062100209  30.062100209  0.000000347825814    79.000000 30.062100208947207 
   128     0.128000  0.010312241  0.000080564 -0.064748392 -0.997901621  0.000000000000000000 -30.063083736  30.063083736  30.063083736  0.000000347854697    79.000000 30.063083735515537 
   129     0.129000  0.010392805  0.000080564 -0.065253522 -0.997868718  0.000000000000000000 -30.064075030  30.064075030  30.064075030  0.000000347883589    79.000000 30.064075030292912 
   130     0.130000  0.010473369  0.000080564 -0.065758636 -0.997835558 -0.000000000000028422 -30.065074095  30.065074095  30.065074095  0.000000347912490    79.000000 30.065074094555847 
   131     0.131000  0.010553934  0.000080564 -0.066263733 -0.997802144  0.000000000000028422 -30.066080930  30.066080930  30.066080930  0.000000347941400    79.000000 30.066080929590939 
   132     0.132000  0.010634498  0.000080564 -0.066768813 -0.997768473 -0.000000000000028422 -30.067095537  30.067095537  30.067095537  0.000000347970319    79.000000 30.067095536694943 
   133     0.133000  0.010715063  0.000080564 -0.067273876 -0.997734547 -0.000000000000028422 -30.068117917  30.068117917  30.068117917  0.000000347999247    79.000000 30.068117917174686 
   134     0.134000  0.010795627  0.000080564 -0.067778921 -0.997700365 -0.000000000000028422 -30.069148072  30.069148072  30.069148072  0.000000348028184    79.000000 30.069148072347133 
